TEAM_ID,NICKNAME,LEAGUE_ID,SEASON_ID,STANDINGSDATE,CONFERENCE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
1610612744,Warriors,0,22019,2020-02-28,West,Golden State,59,12,47,203,7-23,5-24
1610612744,Warriors,0,22019,2020-02-27,West,Golden State,59,12,47,203,7-23,5-24
1610612744,Warriors,0,22019,2020-01-31,West,Golden State,49,10,39,204,7-17,3-22
1610612744,Warriors,0,22019,2020-01-30,West,Golden State,49,10,39,204,7-17,3-22
1610612737,Hawks,0,22019,2020-01-11,East,Atlanta,39,8,31,205,4-14,4-17
1610612737,Hawks,0,22019,2020-01-10,East,Atlanta,39,8,31,205,4-14,4-17
1610612737,Hawks,0,22019,2020-01-02,East,Atlanta,34,7,27,206,3-12,4-15
1610612744,Warriors,0,22019,2020-02-26,West,Golden State,58,12,46,207,7-22,5-24
1610612744,Warriors,0,22019,2020-02-25,West,Golden State,58,12,46,207,7-22,5-24
1610612744,Warriors,0,22019,2020-01-28,West,Golden State,48,10,38,208,7-17,3-21
1610612744,Warriors,0,22019,2020-01-17,West,Golden State,43,9,34,209,6-15,3-19
1610612744,Warriors,0,22019,2020-01-16,West,Golden State,43,9,34,209,6-15,3-19
1610612744,Warriors,0,22019,2020-02-24,West,Golden State,57,12,45,211,7-21,5-24
1610612744,Warriors,0,22019,2020-02-23,West,Golden State,57,12,45,211,7-21,5-24
1610612737,Hawks,0,22019,2020-01-09,East,Atlanta,38,8,30,211,4-14,4-16
1610612737,Hawks,0,22019,2020-01-08,East,Atlanta,38,8,30,211,4-14,4-16
1610612744,Warriors,0,22019,2020-03-01,West,Golden State,61,13,48,213,7-24,6-24
1610612744,Warriors,0,22019,2020-01-27,West,Golden State,47,10,37,213,7-17,3-20
1610612744,Warriors,0,22019,2020-01-26,West,Golden State,47,10,37,213,7-17,3-20
1610612744,Warriors,0,22019,2020-01-25,West,Golden State,47,10,37,213,7-17,3-20
1610612744,Warriors,0,22019,2020-01-24,West,Golden State,47,10,37,213,7-17,3-20
1610612744,Warriors,0,22019,2020-02-22,West,Golden State,56,12,44,214,7-20,5-24
1610612744,Warriors,0,22019,2020-02-21,West,Golden State,56,12,44,214,7-20,5-24
1610612744,Warriors,0,22019,2020-02-20,West,Golden State,56,12,44,214,7-20,5-24
1610612744,Warriors,0,22019,2020-01-15,West,Golden State,42,9,33,214,6-14,3-19
1610612744,Warriors,0,22019,2020-01-14,West,Golden State,42,9,33,214,6-14,3-19
1610612744,Warriors,0,22019,2020-02-29,West,Golden State,60,13,47,217,7-23,6-24
1610612744,Warriors,0,22019,2020-01-23,West,Golden State,46,10,36,217,7-16,3-20
1610612744,Warriors,0,22019,2020-01-22,West,Golden State,46,10,36,217,7-16,3-20
1610612744,Warriors,0,22019,2020-02-19,West,Golden State,55,12,43,218,7-19,5-24
1610612744,Warriors,0,22019,2020-02-18,West,Golden State,55,12,43,218,7-19,5-24
1610612744,Warriors,0,22019,2020-02-17,West,Golden State,55,12,43,218,7-19,5-24
1610612744,Warriors,0,22019,2020-02-16,West,Golden State,55,12,43,218,7-19,5-24
1610612744,Warriors,0,22019,2020-02-15,West,Golden State,55,12,43,218,7-19,5-24
1610612744,Warriors,0,22019,2020-02-14,West,Golden State,55,12,43,218,7-19,5-24
1610612744,Warriors,0,22019,2020-02-13,West,Golden State,55,12,43,218,7-19,5-24
1610612744,Warriors,0,22019,2020-02-12,West,Golden State,55,12,43,218,7-19,5-24
1610612744,Warriors,0,22019,2020-02-11,West,Golden State,54,12,42,222,7-19,5-23
1610612744,Warriors,0,22019,2020-02-10,West,Golden State,54,12,42,222,7-19,5-23
1610612744,Warriors,0,22019,2020-01-21,West,Golden State,45,10,35,222,7-15,3-20
1610612744,Warriors,0,22019,2020-01-20,West,Golden State,45,10,35,222,7-15,3-20
1610612737,Hawks,0,22019,2020-01-05,East,Atlanta,36,8,28,222,4-12,4-16
1610612737,Hawks,0,22019,2020-01-04,East,Atlanta,36,8,28,222,4-12,4-16
1610612744,Warriors,0,22019,2020-01-11,West,Golden State,40,9,31,225,6-13,3-18
1610612744,Warriors,0,22019,2020-01-10,West,Golden State,40,9,31,225,6-13,3-18
1610612744,Warriors,0,22019,2020-02-09,West,Golden State,53,12,41,226,7-18,5-23
1610612744,Warriors,0,22019,2020-02-08,West,Golden State,53,12,41,226,7-18,5-23
1610612737,Hawks,0,22019,2020-01-21,East,Atlanta,44,10,34,227,5-16,5-18
1610612737,Hawks,0,22019,2020-01-20,East,Atlanta,44,10,34,227,5-16,5-18
1610612744,Warriors,0,22019,2020-01-19,West,Golden State,44,10,34,227,7-15,3-19
1610612744,Warriors,0,22019,2020-01-18,West,Golden State,44,10,34,227,7-15,3-19
1610612744,Warriors,0,22019,2020-02-07,West,Golden State,52,12,40,231,7-17,5-23
1610612744,Warriors,0,22019,2020-02-06,West,Golden State,52,12,40,231,7-17,5-23
1610612744,Warriors,0,22019,2020-02-05,West,Golden State,52,12,40,231,7-17,5-23
1610612744,Warriors,0,22019,2020-01-09,West,Golden State,39,9,30,231,6-13,3-17
1610612744,Warriors,0,22019,2020-01-08,West,Golden State,39,9,30,231,6-13,3-17
1610612737,Hawks,0,22019,2020-01-19,East,Atlanta,43,10,33,233,5-15,5-18
1610612737,Hawks,0,22019,2020-01-18,East,Atlanta,43,10,33,233,5-15,5-18
1610612744,Warriors,0,22019,2020-02-04,West,Golden State,51,12,39,235,7-17,5-22
1610612744,Warriors,0,22019,2020-02-03,West,Golden State,51,12,39,235,7-17,5-22
1610612744,Warriors,0,22019,2020-01-07,West,Golden State,38,9,29,237,6-12,3-17
1610612744,Warriors,0,22019,2020-01-06,West,Golden State,38,9,29,237,6-12,3-17
1610612737,Hawks,0,22019,2020-01-17,East,Atlanta,42,10,32,238,5-14,5-18
